DateTime;InputVoltage;InputCurrent;OutputVoltage;OutputCurrent;InputPower;OutputPower;InputCapacity;OutputCapacity;TemperatureOnboard;TemperatureExternal1;TemperatureExternal2;ChargerOnTime;LowPowerTime;Output1on;Output2on;Output3on;Output4on;USBChargingOn;FanOn;USBConnected;UserInterfaceActive
18.10.2017 23:26:11;11.418;1.707;11.933;1.716;1.716;26;28;780;899;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:25:11;9.256;0.041;4.305;0.121;0.121;14046;21068;28192;42274;-39.5;-39.5;-39.5;48;60;False;False;False;False;False;False;True;False
18.10.2017 23:25:09;6.248;0.054;4.305;0.189;0.189;12874;25750;58564;51627;-39.5;-39.5;-39.5;40;60;False;False;False;False;False;False;True;False
18.10.2017 23:26:11;4.299;1.398;4.306;1.405;1.405;14050;30418;28355;60636;-39.5;-39.5;-39.5;8;60;False;False;False;False;False;False;True;False
18.10.2017 23:26:09;3.831;1.604;4.305;1.622;1.622;35110;35096;4767;4362;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:27:11;3.831;1.604;4.306;1.622;1.622;35110;35098;4758;4388;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:27:09;3.849;1.605;4.325;1.622;1.622;35108;24576;4740;16405;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:28:11;3.867;1.605;4.341;1.622;1.622;35108;28;4702;869;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:28:09;3.867;1.605;4.341;1.622;1.622;35106;2366;4653;5458;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:29:11;3.867;1.605;4.341;1.622;1.622;35106;1196;4634;35926;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:29:09;3.867;1.605;4.341;1.622;1.622;35106;28;4634;846;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:30:11;3.867;1.605;4.341;1.622;1.622;35106;28;4634;855;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:30:09;3.867;1.605;4.341;1.622;1.622;35106;1196;4634;35933;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:31:11;3.867;1.605;4.342;1.622;1.622;35106;5872;4650;45137;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:31:09;3.867;1.605;4.341;1.622;1.622;35106;2366;4644;5475;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:32:11;3.867;1.605;4.343;1.622;1.622;35106;21068;4680;42240;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:32:09;9.847;1.68;10.342;1.692;1.692;8204;2360;49571;5306;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:33:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:33:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:34:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:34:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:35:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:35:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:36:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:36:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:37:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:37:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:38:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:38:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:39:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:39:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39.5;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:40:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:40:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:41:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:41:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:42:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:42:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:43:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:43:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39.5;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:44:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:44:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:45:11;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:45:09;11.418;1.701;11.932;1.71;1.71;22;22;690;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:46:11;11.418;1.7;11.932;1.71;1.71;20;22;678;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:46:09;11.418;1.7;11.932;1.71;1.71;20;22;642;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:47:11;11.418;1.7;11.932;1.71;1.71;20;22;630;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:47:09;11.418;1.7;11.932;1.71;1.71;16;22;546;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:48:11;11.418;1.7;11.932;1.71;1.71;14;22;450;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:48:09;11.418;1.7;11.932;1.71;1.71;14;22;474;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:49:11;11.418;1.7;11.931;1.71;1.71;12;20;428;650;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:49:09;11.418;1.7;11.932;1.71;1.71;10;22;330;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:50:11;11.418;1.7;11.932;1.71;1.71;10;22;330;660;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:50:09;11.418;1.7;11.932;1.709;1.709;10;20;330;612;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:25:11;11.418;1.705;11.931;1.713;1.713;2;10538;123;54033;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:25:41;11.418;1.705;11.931;1.713;1.713;2;23412;90;47058;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:26:11;11.418;1.705;11.931;1.713;1.713;2;33946;90;35409;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:26:41;11.418;1.705;11.931;1.713;1.713;2;35116;90;4992;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
18.10.2017 23:27:11;11.418;1.705;11.932;1.713;1.713;2;35118;90;4994;-39;-39;-39.5;0;60;False;False;False;False;False;False;True;False
